OrderNumber,NewItemNumber,SectionCode,Row,Seat,OldItemNumber,ExchangedFlag,ParentLineNumber
975060,10769169,SEC2,G,25,,,9
975060,10769168,SEC2,G,26,,,5
975060,10769167,SEC2,G,27,,,1
975061,10769164,SEC2,G,30,,,13
975061,10769163,SEC2,G,31,,,9
975061,10769162,SEC2,G,32,,,5
975061,10769161,SEC2,G,33,,,1
975064,10769459,SEC2,I,7,,,9
975064,10769458,SEC2,I,8,,,5
975064,10769457,SEC2,I,9,,,1
975064,10769517,SEC2,J,7,,,21
975064,10769516,SEC2,J,8,,,17
975064,10769515,SEC2,J,9,,,13
975065,10769761,SEC2,K,1,,,5
975065,10769760,SEC2,K,2,,,1
975222,10769801,SEC2,L,19,,,5
975222,10769800,SEC2,L,20,,,1
975067,10769812,SEC2,L,8,,,5
975067,10769811,SEC2,L,9,,,1
975378,10769912,SEC2,N,24,,,5
975378,10769911,SEC2,N,25,,,1
975213,10769993,SEC2,O,1,,,17
975213,10769992,SEC2,O,2,,,13
975213,10770622,SEC2,P,1,,,9
975213,10770621,SEC2,P,2,,,5
975213,10770049,SEC2,P,3,,,1
975071,10770653,SEC2,Q,28,,,5
975071,10770652,SEC2,Q,29,,,1
975074,10770796,SEC2,S,1,,,5
975075,10770783,SEC2,S,14,,,21
975075,10770782,SEC2,S,15,,,17
975206,10770781,SEC2,S,16,,,9
975206,10770780,SEC2,S,17,,,5
975206,10770779,SEC2,S,18,,,1
975217,10770778,SEC2,S,19,,,1
975074,10770795,SEC2,S,2,,,1
975073,10770772,SEC2,S,25,,,1
975079,10770854,SEC2,T,1,,,1
975075,10770842,SEC2,T,13,,,13
975075,10770841,SEC2,T,14,,,9
975075,10770840,SEC2,T,15,,,5
975075,10770839,SEC2,T,16,,,1
975074,10770853,SEC2,T,2,,,13
975074,10770852,SEC2,T,3,,,9
975169,10770819,SEC2,T,36,,,5
975169,10770818,SEC2,T,37,,,1
975226,10770851,SEC2,T,4,,,1
975082,10770808,SEC2,T,47,,,9
975082,10770807,SEC2,T,48,,,5
975082,10770806,SEC2,T,49,,,1
975199,10770098,THUND,H,22,,,1
975087,10770165,THUND,J,1,,,5
975087,10770164,THUND,J,2,,,1
975089,10770166,THUND,K,23,,,1
975091,10770190,THUND,L,22,,,5
975091,10770189,THUND,L,23,,,1
975092,10770207,THUND,L,5,,,9
975092,10770206,THUND,L,6,,,5
975092,10770205,THUND,L,7,,,1
975098,10770225,THUND,M,10,,,5
975098,10770224,THUND,M,11,,,1
975098,10770229,THUND,M,6,,,21
975098,10770228,THUND,M,7,,,17
975098,10770227,THUND,M,8,,,13
975098,10770226,THUND,M,9,,,9
975077,10769026,SEC1,E,1,,,13
975077,10769025,SEC1,E,2,,,9
975077,10769024,SEC1,E,3,,,5
975077,10769023,SEC1,E,4,,,1
975104,10769076,SEC1,F,1,,,9
975104,10769075,SEC1,F,2,,,5
975097,10769050,SEC1,F,27,,,1
975104,10769074,SEC1,F,3,,,1
975117,10769282,SEC1,G,1,,,5
975117,10769281,SEC1,G,2,,,1
975120,10769333,SEC1,I,50,,,1
975126,10769662,SEC1,K,1,,,5
975126,10769661,SEC1,K,2,,,1
975128,10769712,SEC1,L,1,,,5
975128,10769711,SEC1,L,2,,,1
975130,10769686,SEC1,L,27,,,17
975130,10769685,SEC1,L,28,,,13
975130,10769684,SEC1,L,29,,,9
975130,10769683,SEC1,L,30,,,5
975130,10769682,SEC1,L,31,,,1
975137,10770308,SEC1,N,3,,,5
975137,10770307,SEC1,N,4,,,1
975312,10770265,SEC1,N,46,,,5
975312,10770264,SEC1,N,47,,,1
975139,10770334,SEC1,O,27,,,9
975139,10770333,SEC1,O,28,,,5
975139,10770332,SEC1,O,29,,,1
975141,10770312,SEC1,O,49,,,5
975141,10770311,SEC1,O,50,,,1
975256,10770401,SEC1,P,10,,,1
975142,10770390,SEC1,P,21,,,21
975142,10770389,SEC1,P,22,,,17
975142,10770388,SEC1,P,23,,,13
975142,10770387,SEC1,P,24,,,9
975142,10770386,SEC1,P,25,,,5
975142,10770385,SEC1,P,26,,,1
975143,10770384,SEC1,P,27,,,5
975143,10770383,SEC1,P,28,,,1
975144,10770378,SEC1,P,33,,,13
975144,10770377,SEC1,P,34,,,9
975144,10770376,SEC1,P,35,,,5
975144,10770375,SEC1,P,36,,,1
975145,10770374,SEC1,P,37,,,13
975145,10770373,SEC1,P,38,,,9
975145,10770372,SEC1,P,39,,,5
975145,10770371,SEC1,P,40,,,1
975146,10770460,SEC1,Q,1,,,1
975148,10770449,SEC1,Q,12,,,9
975148,10770448,SEC1,Q,13,,,5
975148,10770447,SEC1,Q,14,,,1
975149,10770446,SEC1,Q,15,,,5
975149,10770445,SEC1,Q,16,,,1
975150,10770459,SEC1,Q,2,,,13
975155,10770432,SEC1,Q,29,,,1
975150,10770458,SEC1,Q,3,,,9
975153,10770427,SEC1,Q,34,,,5
975153,10770426,SEC1,Q,35,,,1
975150,10770457,SEC1,Q,4,,,5
975150,10770456,SEC1,Q,5,,,1
975159,10770510,SEC1,R,1,,,21
975159,10770509,SEC1,R,2,,,17
975186,10770490,SEC1,R,21,,,5
975186,10770489,SEC1,R,22,,,1
975156,10770484,SEC1,R,27,,,9
975156,10770483,SEC1,R,28,,,5
975156,10770482,SEC1,R,29,,,1
975159,10770508,SEC1,R,3,,,13
975224,10770462,SEC1,R,49,,,1
975224,10770461,SEC1,R,50,,,5
975159,10770560,SEC1,S,1,,,9
975159,10770559,SEC1,S,2,,,5
975159,10770558,SEC1,S,3,,,1
975160,10770512,SEC1,S,49,,,5
975160,10770511,SEC1,S,50,,,1
975161,10770610,SEC1,T,1,,,5
975161,10770609,SEC1,T,2,,,1
975163,10770584,SEC1,T,27,,,5
975163,10770583,SEC1,T,28,,,1
975164,10770582,SEC1,T,29,,,5
975164,10770581,SEC1,T,30,,,1
975402,10770579,SEC1,T,32,,,13
975402,10770578,SEC1,T,33,,,9
975402,10770577,SEC1,T,34,,,5
975402,10770576,SEC1,T,35,,,1
975032,10770564,SEC1,T,47,,,13
975032,10770563,SEC1,T,48,,,9
975032,10770562,SEC1,T,49,,,5
975032,10770561,SEC1,T,50,,,1
975035,10768489,SEC1,U,17,,,61
975035,10768488,SEC1,U,18,,,57
975035,10768487,SEC1,U,19,,,53
975035,10768486,SEC1,U,20,,,49
975035,10768485,SEC1,U,21,,,45
975035,10768484,SEC1,U,22,,,41
975035,10768483,SEC1,U,23,,,37
975035,10768482,SEC1,U,24,,,33
