"ID","PerformanceName","BoxOffice","Organizer","Venue","Event","SeatingChart","PerformanceDate","PerformanceEndDate","PerformanceStartTime","PerformanceEndTime","SalesStart","SalesEnd","DeliveryMethods","InternalStatus","ManualStatus","MaxReserveTime","ConfirmationContact","ConfirmationContactID","ConfirmationContactType","PerformanceCode","Featured","Tmp_Completed","Description","Img_1","Img_2","SearchKeywords","FT_Timestamp","SeatingMapImage","AlertQty","AlertEmail","TicketCopy1","TicketCopy2","TicketCopy3","TicketCopy4","TicketCopy5","TicketCopy6","TicketCopy7","TicketCopy8","LowTicketsAlert","SoldOutAlert","SingleAreaVenueAreaID","pdate_changed","InfoBox","PrintTicketForEachDay","MaxTicketsPerBasket","SkiDataGateID","isPackage","PackagePrintIndividual","ShowPerformancesInPackage","TicketWaterMarkImage","TicketWaterMarkDisplayOption","TC1FontFamily","TC1FontSize","TC1FontStyle","TC2FontFamily","TC2FontSize","TC2FontStyle","TC3FontFamily","TC3FontSize","TC3FontStyle","TC4FontFamily","TC4FontSize","TC4FontStyle","TC5FontFamily","TC5FontSize","TC5FontStyle","TC6FontFamily","TC6FontSize","TC6FontStyle","TC7FontFamily","TC7FontSize","TC7FontStyle","TC8FontFamily","TC8FontSize","TC8FontStyle","AccessPassword","AccessRestricted","DoNotPrint","PricePrintOption","PricePrintOptionOther","UseEventDescription"
"28","""Addy"" Author Book Reading","1","1","1","11","11","2008-04-26 00:00:00","2008-04-26 00:00:00","1900-01-01 10:00:00","1900-01-01 12:00:00","2008-02-28 07:00:00","2008-04-25 13:00:00","3","1","1","30","0",0,"0","sp04262008","1","2","","","","","000000000000692C","Blank.gif","0","","Book Reading with ""Addy"" Author * April 26, 2008 * 10:00am","Open -Floor","Seating","Open-Floor","Seating","","","","0","0","17","2008-04-25 07:47:46","This event will be held in the Abraham Lincoln Presidential Library, Multipurpose Room.  Check-in will begin at 9:30am.  As Connie Rose Porter immerses the audience into the trials of Addy Walker, guests will gather around on the floor to experience this occasion (limited chair seating).","0","0","0","0","0","0","","","Arial Narrow","10","bold","Arial Narrow","10","bold","Arial Narrow","10","bold","Arial Narrow","10","bold","Arial Narrow","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"29","Corsets to Cloaks Afternoon Tea","1","1","1","2","3","2008-06-28 00:00:00","2008-06-28 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2008-03-11 07:00:00","2008-06-26 10:00:00","3","4","1","30","0",0,"0","sp06282008","1","2","Nancy Torgerson will demonstrate and discuss the common characteristics of 19th century clothing during afternoon tea.  Humorous readings expressing the thoughts of people wearing these clothes will also be shared.This event is in conjunction with the Historic Preservation Agency’s “Stitches in Time” program.","","","","0000000000006CD5","Blank.gif","0","","Corsets to Cloaks  Afternoon Tea","June 28th","2:00pm","Open","Seating","","","","0","0","5","2008-03-11 07:52:49","Event will start at 2:00pm in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.","0","0","0","0","0","0","","","Tahoma","18","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"30","Tea with Mrs. Roosevelt","1","1","1","2","3","2008-07-12 00:00:00","2008-07-12 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2008-03-11 07:00:00","2008-07-10 10:00:00","3","4","1","30","0",0,"0","sp07122008","1","2","Join Eleanor Roosevelt, portrayed by Marilyn Darnall, for tea and conversation.  ""A woman is like a tea bag.  You never know how strong she is until she gets into hot water.""-Eleanor Roosevelt","","","","0000000000006B21","Blank.gif","0","","Tea with Mrs. Roosevelt","July 12th","2:00pm","Open","Seating","","","","0","0","5","2008-03-11 08:21:58","Afternoon Tea will begin at 2:00pm in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.","0","0","0","0","0","0","","","Tahoma","20","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"31","CSI:  Lincoln","1","1","1","12","9","2008-04-18 00:00:00","2008-04-18 00:00:00","1900-01-01 12:00:00","1900-01-01 15:00:00","2008-03-11 07:00:00","2008-04-16 10:00:00","2","1","4","30","0",0,"0","sp04182008","1","2","Daniel Stowell, Director and Editor, The Papers of Abraham Lincoln, will discuss the release of a 4-volume book: The Papers of Abraham Lincoln: Legal Documents and Cases. In addition there will be a free ""CSI Springfield"" Workshop authenticating Lincoln Documents on April 19, 2008 at 1:00pm.  This is a free workshop but reservations are required by calling 217-558-8934.","","","","0000000000006728","Blank.gif","0","","CSI:  Lincoln * Book Release and Luncheon*","April 18th","12:00 pm","Open","Seating","","","","0","0","13","2008-04-16 12:02:14","This event will be held at 12:00pm in th Muti-purpose Room in the Abraham Lincoln Library.","0","0","0","0","0","0","","","Tahoma","20","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"33","Dance Canteen","1","1","1","14","12","2008-05-16 00:00:00","2008-05-16 00:00:00","1900-01-01 18:00:00","1900-01-01 22:00:00","2008-04-07 07:00:00","2008-05-14 14:00:00","2","1","1","30","0",0,"0","sp05162008","1","2","","","","","0000000000006CF8","Blank.gif","0","","Dance Canteen","","May 16, 2008","","6:00 PM","","","","0","0","18","2008-05-08 09:30:02","6:00 - 9:00 The Art of War exhibit is open for viewing6:30 - 7:15 Dance instruction7:00 - 10:00 The Don Smith Band","0","0","0","0","0","0","","","Tahoma","20","normal","Arial","10","normal","Tahoma","10","normal","Arial","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"34","Governor's Conference","1","1","1","15","13","2008-05-31 00:00:00","2008-05-31 00:00:00","1900-01-01 08:30:00","1900-01-01 16:45:00","2008-04-10 07:00:00","2008-05-28 10:00:00","2","1","1","30","0",0,"0","sp05312008","1","2","","","","","000000000000727E","Blank.gif","0","","Governor's Conference on Richard B. Ogilvie","May 31st","8:00AM","Open","Seating","","","","0","0","19","2008-05-28 14:13:09","Library Atrium8:30 Registration, coffee, and pasties9:00 - 12:15 Programs12:15 - 2:00 Lunch2:00 - 4:45 Programs","0","0","0","0","0","0","","","Tahoma","12","bold","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"35","Ogilvie Reunion","1","1","1","16","8","2008-05-31 00:00:00","2008-05-31 00:00:00","1900-01-01 19:00:00","1900-01-01 21:00:00","2008-04-10 07:00:00","2008-05-28 10:00:00","2","1","1","30","0",0,"0","sp05312008a","1","2","","","","","000000000000727F","Blank.gif","0","","Ogilvie Reunion","May 31st","7:00PM","Open","Seating","","","","0","0","12","2008-05-28 14:13:30","Evening reception in the museum.","0","0","0","0","0","0","","","Tahoma","14","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"36","House Divided Lunch & Workshop","1","1","1","17","14","2008-06-16 00:00:00","2008-06-16 00:00:00","1900-01-01 12:00:00","1900-01-01 16:00:00","2008-04-23 07:00:00","2008-06-12 13:00:00","3","1","6","30","0",0,"0","sp06162008","1","2","Half-day teacher's workshop on Lincoln & Douglas and related topics with Allen Guelzo.Box lunch included.  CPDUs offered.","","","","000000000000760F","Blank.gif","0","","House Divided Teacher's Workshop & Lunch","June 16th","12:00PM","Open","Seating","","","","0","0","20","2008-06-10 08:53:45","Workshop held in classroom at the Abraham Lincoln Presidential Library.Teachers who come early can also attend the Library's outreach program at 11:00am.","0","0","0","0","0","0","","","Tahoma","12","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"37","House Divided Speech","1","1","1","18","15","2008-06-16 00:00:00","2008-06-16 00:00:00","1900-01-01 17:30:00","1900-01-01 19:30:00","2008-04-23 07:00:00","2008-06-11 13:00:00","3","1","1","30","0",0,"0","sp06162008a","1","2","","","","","00000000000068D6","Blank.gif","0","","House Divided Speech","June 16th","5:30PM","Open","Seating","","","","0","0","21","2008-04-22 09:24:30.467000000","","0","0","0","0","0","0","","","Arial","16","bold","Arial","10","bold","Arial","10","bold","Arial","10","bold","Arial","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"38","Civil War Musical","1","1","1","19","16","2008-07-24 00:00:00","2008-07-24 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-04-28 07:00:00","2008-07-24 21:00:00","2","1","6","30","0",0,"0","sp07242008","1","2","","","","","0000000000008371","Blank.gif","0","","","","","","","","","","0","0","22","2008-07-23 14:41:42","Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.Enter park via southeast corner.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","1"
"39","Civil War Musical","1","1","1","19","16","2008-07-25 00:00:00","2008-07-25 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-04-28 07:00:00","2008-07-24 12:00:00","2","1","1","30","0",0,"0","sp07252008","1","2","","","","","0000000000009E8D","Blank.gif","0","","","","","","","","","","0","0","22","2008-07-25 12:09:31","Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.Enter park via southeast corner.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","1"
"40","Civil War Musical","1","1","1","19","16","2008-07-26 00:00:00","2008-07-26 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-04-28 07:00:00","2008-07-24 14:00:00","3","2","1","30","0",0,"0","sp07262008","1","1","","","","","000000000000695E","Blank.gif","0","","","","","","","","","","0","0","0","2008-04-25 10:07:45.527000000","Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.Enter park via southeast corner.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","1"
"41","Civil War Musical","1","1","1","19","16","2008-07-27 00:00:00","2008-07-27 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-04-28 07:00:00","2008-07-24 12:00:00","2","1","1","30","0",0,"0","sp07272008","1","2","","","","","0000000000009E96","Blank.gif","0","","","","","","","","","","0","0","22","2008-07-25 12:11:15","Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.Enter park via southeast corner.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","1"
"42","Civil War Musical","1","1","1","19","16","2008-07-26 00:00:00","2008-07-26 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-04-28 07:00:00","2008-07-24 12:00:00","2","4","6","30","0",0,"0","sp07262008a","1","2","Reserved seating is sold out.Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.","","","","000000000000A201","Blank.gif","0","","","","","","","","","","0","0","22","2008-07-26 14:21:16","Lawn and blanket seats available for sale night of performance only.Box office will be open at 6:30.Enter park via southeast corner.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","0"
"43","Film Festival","1","1","1","20","17","2008-05-02 00:00:00","2008-05-02 00:00:00","1900-01-01 19:00:00","1900-01-01 22:00:00","2008-05-02 07:00:00","2008-05-02 19:00:00","2","1","6","30","0",0,"0","sp05022008","1","2","","","","","0000000000006B1D","Blank.gif","0","","Film Festival * May 2 * 7:00 PM","OPEN","SEATING","OPEN","SEATING","","","","0","0","23","2008-05-01 15:20:01.340000000","","0","0","0","0","0","0","","","Tahoma","14","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"44","Film Festival","1","1","1","20","17","2008-06-06 00:00:00","2008-06-06 00:00:00","1900-01-01 19:00:00","1900-01-01 22:00:00","2008-06-06 07:00:00","2008-06-06 20:00:00","2","1","6","30","0",0,"0","sp06062008","1","2","","","","","00000000000073F1","Blank.gif","0","","Film Festival * June 6 * 7:00 PM","OPEN","SEATING","OPEN","SEATING","","","","0","0","23","2008-06-01 11:39:20.017000000","","0","0","0","0","0","0","","","Tahoma","14","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"46","Morris Dees","1","1","1","22","18","2008-10-10 00:00:00","2008-10-10 00:00:00","1900-01-01 19:00:00","1900-01-01 22:00:00","2008-06-11 07:00:00","2008-10-09 09:59:00","2","1","1","30","0",0,"0","sp10102008","1","2","Mr. Dees has numerous awards in conjunction with his work at the Center. Trial Lawyers for Public Justice named him Trial Lawyer of the Year, he also received the Martin Luther King Jr. Memorial Award from the National Education Association and was awarded the Friend of Education Award by the National Education Association.  In 2006, the National Law Journal listed him among the 100 most influential lawyers in America.","","","","000000000000C2B8","Blank.gif","0","","Morris Dees  Friday, October 10, 2008","OPEN","SEATING","OPEN","SEATING","","","","0","0","24","2008-10-07 13:26:22","Morris Dees from the Southern Poverty Law Center will speak at the President Abraham Lincoln Hotel and Conference Center in conjunction with the NAACP Illinois State Conference.Attendees to this event are advised to arrive by 6:45pm to pass through security screenings before being seated.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"48","How Children lived in Lincoln's Time","1","1","1","2","3","2008-09-20 00:00:00","2008-09-20 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2008-08-01 07:00:00","2008-09-19 14:00:00","3","1","1","30","0",0,"0","sp09202008","1","2","Nancy Torgerson will present pictures, reproduction toys, 19th century riddles and antiques to demonstrate home life, schooling and entertainment of children living in the mid 19th Century.  Nancy will explain the differences and similarities between the life of children then and today.  Audience participation in encouraged!","","","","000000000000AD18","Blank.gif","0","","Tea* How Children Lived","September 20","2:00pm","Open","Seating","","","","0","0","5","2008-07-28 10:32:42","Afternoon Tea will begin at 2:00pm in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.","0","0","0","0","0","0","","","Tahoma","18","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"49","Beautiful Hats","1","1","1","2","3","2008-11-15 00:00:00","2008-11-15 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2008-08-01 07:00:00","2008-11-14 14:00:00","3","4","1","30","0",0,"0","sp11152008","1","2","The Tea Ladies, Inc. will present a breathtaking presentation of the history of ladies’ and men’s hats through the ages.  Hats from 1860’s to the 1920’s are displayed and modeled.  A visual delight!  Wearing your own hat in encouraged but not required!","","","","000000000000A9A3","Blank.gif","0","","Beautiful Hats Tea","November 15","2:00pm","Open","Seating","","","","0","0","5","2008-07-28 10:35:57","Afternoon Tea will begin at 2:00pm in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.","0","0","0","0","0","0","","","Tahoma","20","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"51","Blue Room Salon","1","1","1","6","8","2008-08-22 00:00:00","2008-08-22 00:00:00","1900-01-01 18:30:00","1900-01-01 21:30:00","2008-07-14 07:00:00","2008-08-21 14:00:00","3","1","1","30","0",0,"0","sp08222008","1","2","Join us as the museum recreates Mary Lincoln’s infamous “Blue Room Salon”.  Mrs. Lincoln and her guest will mingle with modern-day experts in the fields of presidential politics and behind-the-scenes campaign trailers in this informal evening of socializing and enlightenment set against the backdrop of the museum’s latest exhibit “Packaging Presidents: Two Centuries of Campaigns and Candidates.”","","","","0000000000007DAD","Blank.gif","0","","Blue Room Salon * August 22,2008* 6:30PM","OPEN","SEATING","OPEN","SEATING","","","","0","0","12","2008-07-09 09:47:48","Blue Room Salon recreates Mary Todd Lincoln's informal gatherings at the White House.The evening will feature a Mary Todd Lincoln impersonator, Connie Schultz author of ""And His Lovely Wife"", political cartoonist Chris Britt, and Fred Voss guest curator of the museum's latest temporary exhibit ""Packaging Presidents Two Centuries of Campaigns and Candidates"". Guests can stroll from room to room at the Museum to mingle with these participants.Tickets include hors d' oeuvres, dessert and coffee, and wines.","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"53","An Evening with the Composer-David Kneupper","1","1","1","24","17","2008-09-18 00:00:00","2008-09-18 00:00:00","1900-01-01 19:00:00","1900-01-01 22:00:00","2008-08-01 07:00:00","2008-09-17 14:00:00","2","1","1","30","0",0,"0","sp09182008","1","2","Come to a fascinating evening to hear award-winning composer and sound designer David Kneupper discuss his work on composing and conducting over three hours of music for the Museum.","","","","000000000000B22D","Blank.gif","0","","An Evening with the Composer - David Kneupper","Open","Seating","September 18","7:00 pm","","","","0","0","23","2008-09-15 10:14:01","All of the music created for the Abraham Lincoln Presidential Museum is based on songs originally composed and published in the U.S. between 1811 and 1882.  Among its many attributes, the Museum celebrates the first music that is truly American, written by and for its people.","0","0","0","0","0","0","","","Arial","10","bold","Arial","10","bold","Arial","10","bold","Arial","10","bold","Arial","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"55","CW Thur Night","1","1","1","19","20","2008-07-24 00:00:00","2008-07-24 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-07-24 07:00:00","2008-07-24 21:30:00","2","1","6","30","0",0,"0","sp07242008a","1","2","","","","","0000000000009CC1","Blank.gif","0","","","","","","","","","","0","0","26","2008-07-24 08:17:00.200000000","","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","0"
"56","CW Fri Night","1","1","1","19","20","2008-07-25 00:00:00","2008-07-25 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-07-25 07:00:00","2008-07-25 21:30:00","2","1","6","30","0",0,"0","sp07252008a","1","2","","","","","0000000000009E74","Blank.gif","0","","","","","","","","","","0","0","26","2008-07-25 11:29:37.493000000","","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","0"
"57","CW Sat Night","1","1","1","19","20","2008-07-26 00:00:00","2008-07-26 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-07-26 07:00:00","2008-07-26 21:30:00","2","1","6","30","0",0,"0","sp07262008b","1","2","","","","","000000000000A0AD","Blank.gif","0","","","","","","","","","","0","0","26","2008-07-26 11:32:10.580000000","","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","0"
"58","CW Sun Night","1","1","1","19","20","2008-07-27 00:00:00","2008-07-27 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-07-27 07:00:00","2008-07-27 21:30:00","2","1","6","30","0",0,"0","sp07272008a","1","2","","","","","000000000000A446","Blank.gif","0","","","","","","","","","","0","0","26","2008-07-27 14:09:44.777000000","","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","1","0","","0"
"59","Jim Edgar Series featuring William Miller","1","1","1","25","19","2008-11-06 00:00:00","2008-11-06 00:00:00","1900-01-01 19:00:00","1900-01-01 21:00:00","2008-10-01 07:00:00","2008-11-05 14:00:00","3","4","6","30","0",0,"0","sp11062008","1","2","William Miller, a professor at University of Virginia will speak on the research from his most recent book “President Lincoln:  the Duty of a Statesman”.  Miller also wrote “Lincoln’s Virtues” which was published in 2002.","","","","000000000000C117","Blank.gif","0","","Jim Edgar Lecture Series Featuring William Miller","November 6","7:00 pm","November 6","7:00 pm","","","","0","0","25","2008-10-02 07:50:27","Miller will do a book signing in the museum store and another after his presentation.","0","0","0","0","0","0","","","Impact","12","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"60","Lincolnesque","1","1","1","26","7","2008-10-02 00:00:00","2008-10-02 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-01 14:00:00","2","1","1","30","0",0,"0","sp10022008","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF84","UnionTheater[1].jpg","0","","Lincolnesque * October 2 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:24:58","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch.  (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"61","Lincolnesque","1","1","1","26","7","2008-10-03 00:00:00","2008-10-03 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-02 14:00:00","2","1","1","30","0",0,"0","sp10032008","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF85","UnionTheater[1].jpg","0","","Lincolnesque * October 3 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:25:10","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.  Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch.  (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"62","Lincolnesque","1","1","1","26","7","2008-10-04 00:00:00","2008-10-04 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-03 14:00:00","2","1","1","30","0",0,"0","sp10042008","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF86","UnionTheater[1].jpg","0","","Lincolnesque * October 4 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:25:24","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.  Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch. (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"63","Lincolnesque","1","1","1","26","7","2008-10-09 00:00:00","2008-10-09 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-08 14:00:00","2","1","1","30","0",0,"0","sp10092008","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF87","UnionTheater[1].jpg","0","","Lincolnesque * October 9 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:25:47","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.  Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch.  (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"64","Lincolnesque","1","1","1","26","7","2008-10-10 00:00:00","2008-10-10 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-09 14:00:00","2","1","1","30","0",0,"0","sp10102008a","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF88","UnionTheater[1].jpg","0","","Lincolnesque * October 10 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:26:02","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.  Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch.  (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"65","Lincolnesque","1","1","1","26","7","2008-10-11 00:00:00","2008-10-11 00:00:00","1900-01-01 20:00:00","1900-01-01 22:00:00","2008-09-04 07:00:00","2008-10-10 14:00:00","2","1","1","30","0",0,"0","sp10112008","1","2","A fascinating new comedy-drama set in the world of Washington DC election campaigns, seen through the eyes of two brothers:  Leo, a speech writer for a lackluster congressional candidate; and Francis, a brilliant and passionate individual, who just happens to believe he’s Abraham Lincoln.  (An adult drama)","","","","000000000000BF89","UnionTheater[1].jpg","0","","Lincolnesque * October 11 * 8:00 pm","","","","","","","","0","0","0","2008-09-29 06:26:21","A poignant and funny new play about brotherhood, loyalty and the corruption of politics in America.   Featuring:  Tom Lawton, Ed MacMurdo, Patrick Russell, and Mary Young.  Directed by Phil Funkenbusch.  (An adult drama)","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"66","Film Festival","1","1","1","20","17","2008-09-05 00:00:00","2008-09-05 00:00:00","1900-01-01 19:00:00","1900-01-01 22:00:00","2008-09-05 07:00:00","2008-09-05 21:59:00","2","1","6","30","0",0,"0","sp09052008","1","2","","","","","000000000000AEDA","Blank.gif","0","","Film Festival * September 5 * 7:00 PM","OPEN","SEATING","OPEN","SEATING","","","","0","0","23","2008-09-05 11:34:24.457000000","","0","0","0","0","0","0","","","Tahoma","14","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Tahoma","10","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
